ID_fishingoperation;year;quarter;month;day;vessel_CFR;vessel_name;power_hp;length_m;TRB;port_base;port_landing;ICES_rec;metier;trip_id;haul;mesh_size;speed;target_species;moon;starting_time;tacking_time;time_trawling_h;starting_lat;tacking_lat;starting_lon;tacking_lon;starting_depth;tacking_depth;ICES_div;depth_average;species;weight_catch;weight_retained;weight_discarded;number_reatined;number_discarded
DESSUR24016_1;2024;1;2;19;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24016;1;55;3.0;MIXED WHITE;3;4:10;9:13;5.05;43.90;44.07;-8.53;-8.32;311;314;27.8.c;313;Lophius piscatorius;8.501;8.501;0;9.000;0
DESSUR24016_2;2024;1;2;19;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24016;2;55;3.3;MIXED WHITE;3;10:30;14:00;3.50;44.10;44.07;-8.37;-8.65;342;386;27.8.c;364;Lophius piscatorius;0;0;0;0;0
DESSUR24016_3;2024;1;2;19;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24016;3;55;3.0;MIXED WHITE;3;15:20;19:27;4.12;44.07;44.08;-8.68;-8.35;360;323;27.8.c;342;Lophius piscatorius;0;0;0;0;0
DESSUR24017_2;2024;1;2;20;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24017;2;55;3.3;MIXED WHITE;3;10:40;14:32;3.87;44.10;44.07;-8.35;-8.67;377;389;27.8.c;383;Lophius piscatorius;42.700;42.700;0;2.000;0
DESSUR24017_3;2024;1;2;20;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24017;3;55;3.0;MIXED WHITE;3;15:45;19:45;4.00;44.07;44.08;-8.67;-8.37;220;179;27.8.c;200;Lophius piscatorius;0;0;0;0;0
DESSUR24051_2;2024;2;6;17;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24051;2;55;3.1;MIXED WHITE;3;8:50;13:30;4.67;43.98;43.77;-8.43;-8.60;272;250;27.8.c;261;Lophius piscatorius;6.334;6.334;0;3.000;0
DESSUR24051_3;2024;2;6;17;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24051;3;55;3.3;MIXED WHITE;3;14:35;18:50;4.25;43.78;43.93;-8.58;-8.34;216;216;27.8.c;216;Lophius piscatorius;30.000;30.000;0;11.000;0
DESSUR24051_4;2024;2;6;17;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24051;4;55;3.1;MIXED WHITE;3;19:55;23:55;4.00;43.90;43.72;-8.32;-8.47;197;175;27.8.c;186;Lophius piscatorius;8.000;8.000;0;4.000;0
DESSUR24052_1;2024;2;6;18;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24052;1;55;3.3;MIXED WHITE;3;7:40;12:00;4.33;43.93;43.75;-8.39;-8.60;232;232;27.8.c;232;Lophius piscatorius;8.000;8.000;0;4.000;0
DESSUR24052_2;2024;2;6;18;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24052;2;55;3.2;MIXED WHITE;3;13:00;17:30;4.50;43.74;43.91;-8.63;-8.39;219;219;27.8.c;219;Lophius piscatorius;8.000;8.000;0;5.000;0
DESSUR24052_3;2024;2;6;18;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24052;3;55;3.2;MIXED WHITE;3;18:20;23:00;4.67;43.88;43.72;-8.39;-8.64;199;194;27.8.c;197;Lophius piscatorius;12.000;12.000;0;10.000;0
DESSUR24075_1;2024;3;8;26;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24075;1;55;3.2;BLUEWITHING;4;1:50;5:50;4.00;43.80;44.00;-8.55;-8.40;260;285;27.8.c;273;Lophius piscatorius;1.000;1.000;0;0;0
DESSUR24075_2;2024;3;8;26;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24075;2;55;3.1;BLUEWITHING;4;6:55;11:05;4.17;43.98;44.05;-8.35;-8.05;270;252;27.8.c;261;Lophius piscatorius;0;0;0;0;0
DESSUR24075_3;2024;3;8;26;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24075;3;55;3.2;BLUEWITHING;4;12:00;15:00;3.00;43.95;44.02;-8.62;-8.25;280;285;27.8.c;283;Lophius piscatorius;0;0;0;0;0
DESSUR24076_1;2024;3;8;27;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24076;1;55;3.2;BLUEWITHING;4;4:00;8:00;4.00;44.00;44.05;-8.23;-8.03;263;263;27.8.c;263;Lophius piscatorius;0;0;0;0;0
DESSUR24076_2;2024;3;8;27;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'17E1;OTB_DEF_>=55_0_0;DESSUR24076;2;55;3.2;BLUEWITHING;4;9:05;12:30;3.42;44.12;44.05;-8.07;-8.32;293;305;27.8.c;299;Lophius piscatorius;17.000;17.000;0;4.000;0
DESSUR24110_1;2024;4;12;2;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24110;1;;3.2;MIXED WHITE;3;2:15;7:20;5.08;43.70;43.70;-8.63;-8.60;200;190;27.8.c;195;Lophius piscatorius;16.801;16.801;0;18.000;0
DESSUR24110_3;2024;4;12;2;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24110;3;;3.1;FLYING SQUIDS;3;13:20;16:45;3.42;43.50;43.58;-9.17;-8.97;355;357;27.8.c;356;Lophius piscatorius;0;0;0;0;0
DESSUR24111_1;2024;4;12;3;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24111;1;;3.2;MIXED WHITE;3;2:00;3:10;1.17;43.68;43.67;-8.72;-8.75;261;276;27.8.c;269;Lophius piscatorius;10.752;10.752;0;12.000;0
DESSUR24111_3;2024;4;12;3;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24111;3;;3.0;MIXED WHITE;3;10:30;14:10;3.67;43.53;43.63;-9.13;-8.93;345;328;27.8.c;337;Lophius piscatorius;14.292;14.292;0;7.000;0
DESSUR24111_5;2024;4;12;3;ESP000014126;HIMAJO PRIMERO;720.00;32.00;189.00;A Coruña;A Coruña;'16E1;OTB_DEF_>=55_0_0;DESSUR24111;5;;3.1;MIXED WHITE;3;20:40;1:46;5.00;43.77;43.98;-8.62;-8.40;270;284;27.8.c;277;Lophius piscatorius;0;0;0;0;0
